age	 lit_no	 whole width	 left side range	 whole integral	 left side integral	 max loc	 max alpha	 min alpha	 file name
17.50	 1	 1.157574	 0.313831	 2.015011	 0.594718	 2.100054	 2.943797	 1.786223	 2021_10_28_E17,5_B002_#1_left_res.mat
17.50	 1	 0.995698	 0.209424	 1.711702	 0.406005	 2.099679	 2.885953	 1.890255	 2021_10_28_E17,5_B002_#1_right_res.mat
17.50	 1	 1.180255	 0.177277	 1.822669	 0.345934	 2.054214	 3.057191	 1.876937	 2021_10_28_E17,5_B008_#1_left_res.mat
17.50	 1	 0.978116	 0.157774	 1.601984	 0.308218	 2.063177	 2.883519	 1.905403	 2021_10_28_E17,5_B008_#1_right_res.mat
17.50	 1	 1.022067	 0.182686	 1.644704	 0.356034	 2.059160	 2.898541	 1.876474	 2021_10_28_E17,5_B008_#2_left_res.mat
17.50	 1	 0.922602	 0.132183	 1.465051	 0.258258	 2.038503	 2.828922	 1.906320	 2021_10_28_E17,5_B008_#2_right_res.mat
17.50	 1	 1.029758	 0.203294	 1.706390	 0.394435	 2.080755	 2.907220	 1.877462	 2021_10_28_E17,5_B008_#3_left_res.mat
17.50	 1	 0.919286	 0.230404	 1.618416	 0.444155	 2.092596	 2.781478	 1.862192	 2021_10_28_E17,5_B008_#3_right_res.mat
17.50	 1	 0.939336	 0.182482	 1.569278	 0.355282	 2.066891	 2.823745	 1.884409	 2021_10_28_E17,5_B008_#4_left_res.mat
17.50	 1	 1.245460	 0.131093	 1.793604	 0.256006	 2.042382	 3.156749	 1.911289	 2021_10_28_E17,5_B008_#4_right_res.mat
17.50	 1	 0.962090	 0.219642	 1.710070	 0.428258	 2.108219	 2.850668	 1.888577	 2021_10_28_E17,5_B008_#5_left_res.mat
17.50	 1	 1.216370	 0.232680	 1.961262	 0.451221	 2.103668	 3.087358	 1.870987	 2021_10_28_E17,5_B008_#5_right_res.mat
17.50	 1	 0.816288	 0.264346	 1.447718	 0.501334	 2.059553	 2.611495	 1.795207	 2021_10_28_E17,5_B008_#6_left_res.mat
17.50	 1	 1.323443	 0.230468	 1.930177	 0.437758	 2.056659	 3.149633	 1.826190	 2021_10_28_E17,5_B008_#6_right_res.mat
17.50	 1	 1.144947	 0.138393	 1.779080	 0.272762	 2.012959	 3.019512	 1.874565	 2021_10_28_E17,5_B012_#1_left_res.mat
17.50	 1	 1.198879	 0.162972	 1.899907	 0.320107	 2.026687	 3.062594	 1.863715	 2021_10_28_E17,5_B012_#1_right_res.mat
17.50	 1	 1.319446	 0.186355	 1.998790	 0.362914	 2.084171	 3.217262	 1.897816	 2021_10_28_E17,5_B012_#2_left_res.mat
17.50	 1	 1.068917	 0.163269	 1.676962	 0.316679	 2.042057	 2.947704	 1.878788	 2021_10_28_E17,5_B012_#2_right_res.mat
17.50	 1	 0.917480	 0.176526	 1.558352	 0.343595	 2.076186	 2.817140	 1.899660	 2021_10_28_E17,5_B012_#3_left_res.mat
17.50	 1	 0.978214	 0.154744	 1.591368	 0.300986	 2.062865	 2.886336	 1.908121	 2021_10_28_E17,5_B012_#3_right_res.mat
17.50	 1	 1.131602	 0.194535	 1.819933	 0.378885	 2.094654	 3.031720	 1.900118	 2021_10_28_E17,5_B012_#4_left_res.mat
17.50	 1	 0.721008	 0.139646	 1.281492	 0.273226	 2.060724	 2.642086	 1.921078	 2021_10_28_E17,5_B012_#4_right_res.mat
17.50	 1	 0.885978	 0.173862	 1.501945	 0.338715	 2.079166	 2.791283	 1.905304	 2021_10_28_E17,5_B012_#5_left_res.mat
17.50	 1	 0.906357	 0.147045	 1.486418	 0.285728	 2.051546	 2.810858	 1.904501	 2021_10_28_E17,5_B012_#5_right_res.mat
17.50	 1	 1.027537	 0.193723	 1.686414	 0.376137	 2.083243	 2.917057	 1.889520	 2021_10_28_E17,5_B012_#6_left_res.mat
17.50	 1	 0.794141	 0.164221	 1.369240	 0.318282	 2.061183	 2.691103	 1.896963	 2021_10_28_E17,5_B012_#6_right_res.mat
17.50	 1	 0.848668	 0.170240	 1.461057	 0.331355	 2.065649	 2.744077	 1.895409	 2021_10_28_E17,5_B012_#7_left_res.mat
17.50	 1	 1.105186	 0.124517	 1.655579	 0.243476	 2.038990	 3.019659	 1.914473	 2021_10_28_E17,5_B012_#7_right_res.mat
15.50	 1	 0.820348	 0.292318	 1.474774	 0.550618	 1.980256	 2.508286	 1.687938	 2021_10_28_E15,5_B003_#1_left_res.mat
15.50	 1	 0.843014	 0.271822	 1.497766	 0.515445	 2.032619	 2.603810	 1.760797	 2021_10_28_E15,5_B003_#1_right_res.mat
