age	 lit_no	 whole width	 left side range	 whole integral	 left side integral	 max loc	 max alpha	 min alpha	 file name 
14.50	 1	 1.318423	 0.502825	 2.143601	 0.932807	 2.472177	 3.287776	 1.969352	 2019_05_07_E14,5_WT2_left_res.mat
14.50	 1	 1.687258	 0.595478	 2.467684	 1.062643	 2.648832	 3.740612	 2.053354	 2019_05_07_E14,5_WT2_right_res.mat
14.50	 1	 1.734837	 0.598796	 2.422315	 1.079755	 2.490489	 3.626530	 1.891693	 2019_05_07_E14,5_WT3_left_res.mat
14.50	 1	 3.671172	 0.863709	 4.338786	 1.523966	 2.664379	 5.471842	 1.800670	 2019_05_07_E14,5_WT3_right_res.mat
14.50	 1	 1.654497	 0.436750	 2.557301	 0.842022	 2.351852	 3.569599	 1.915101	 2019_05_07_E14,5_WT4_left-1_FrontalOnly.tif_res.mat
14.50	 1	 0.828703	 0.645845	 1.540797	 1.197659	 2.262020	 2.444877	 1.616174	 2019_05_07_E14,5_WT4_left_res.mat
14.50	 1	 0.413439	 0.281354	 0.772162	 0.521361	 2.214033	 2.346119	 1.932679	 2019_05_07_E14,5_WT4_right_res.mat
14.50	 1	 2.539697	 0.842029	 4.005175	 1.613171	 2.714176	 4.411844	 1.872147	 2019_05_07_E14,5_WT_right_res.mat
14.50	 2	 0.794044	 0.459822	 1.519007	 0.878673	 2.052675	 2.386898	 1.592854	 2019_05_23_E14,5_WT1_left_res.mat
14.50	 2	 2.891173	 0.533455	 3.021264	 0.990285	 2.149526	 4.507244	 1.616071	 2019_05_23_E14,5_WT1_right_res.mat
14.50	 2	 1.066545	 0.522860	 1.971324	 0.998209	 2.145264	 2.688949	 1.622404	 2019_05_23_E14,5_WT2_left_res.mat
14.50	 2	 2.989947	 0.633281	 4.347369	 1.190649	 2.205777	 4.562442	 1.572496	 2019_05_23_E14,5_WT2_right_res.mat
14.50	 3	 2.237270	 0.681952	 2.947537	 1.269890	 2.214810	 3.770127	 1.532857	 2019_11_25_e14,5_wt1_left-1.tif_res.mat
14.50	 3	 2.359462	 0.642856	 2.749371	 1.180284	 2.244224	 3.960830	 1.601368	 2019_11_25_e14,5_wt1_right-1.tif_res.mat
14.50	 3	 0.775267	 0.554740	 1.477065	 1.045627	 2.162235	 2.382762	 1.607495	 2019_11_25_e14,5_wt2_left-1.tif_res.mat
14.50	 3	 0.931688	 0.680280	 1.722721	 1.249182	 2.237769	 2.489177	 1.557489	 2019_11_25_e14,5_wt2_right-1.tif_res.mat
14.50	 3	 0.878703	 0.659484	 1.619435	 1.192955	 2.257788	 2.477007	 1.598304	 2019_11_25_e14,5_wt3_left-1.tif_res.mat
14.50	 3	 0.823033	 0.551137	 1.508070	 0.992903	 2.197144	 2.469041	 1.646008	 2019_11_25_e14,5_wt3_right-1.tif_res.mat
14.50	 3	 0.729000	 0.607903	 1.288109	 1.075813	 2.258896	 2.379993	 1.650993	 2019_11_25_e14,5_wt4_left-1.tif_res.mat
14.50	 3	 0.760325	 0.498849	 1.382008	 0.908676	 2.160028	 2.421504	 1.661179	 2019_11_25_e14,5_wt4_right-1.tif_res.mat
14.50	 4	 0.511680	 0.400042	 0.758668	 0.784677	 2.311032	 2.422670	 1.910990	 2019_11_26_e14,5_wt1_left_res.mat
14.50	 4	 0.571404	 0.435177	 0.697792	 0.789963	 2.387133	 2.523360	 1.951956	 2019_11_26_e14,5_wt1_right_res.mat
14.50	 4	 0.448666	 0.390574	 0.859997	 0.761529	 2.339569	 2.397661	 1.948995	 2019_11_26_e14,5_wt2_left_res.mat
14.50	 4	 1.852829	 0.476192	 2.459887	 0.923413	 2.382679	 3.759317	 1.906488	 2019_11_26_e14,5_wt2_right_res.mat
14.50	 4	 1.140682	 0.633832	 2.131829	 1.233988	 2.441783	 2.948633	 1.807951	 2019_11_26_e14,5_wt3_left_res.mat
14.50	 4	 1.616450	 0.640685	 2.697658	 1.247742	 2.499976	 3.475741	 1.859291	 2019_11_26_e14,5_wt3_right_res.mat
14.50	 4	 0.624451	 0.525475	 1.173565	 1.020001	 2.355652	 2.454629	 1.830178	 2019_11_26_e14,5_wt4_left_res.mat
14.50	 4	 0.575139	 0.471509	 0.920755	 0.917863	 2.353447	 2.457076	 1.881937	 2019_11_26_e14,5_wt4_right_res.mat
14.50	 4	 0.395785	 0.346173	 0.670846	 0.676512	 2.254259	 2.303870	 1.908086	 2019_11_26_e14,5_wt5_left_res.mat
14.50	 5	 2.787381	 0.843365	 3.839659	 1.559309	 2.466265	 4.410281	 1.622900	 Stitched_E14,5_WT1l_19062019_res.mat
14.50	 5	 3.478817	 0.753961	 3.965917	 1.404778	 2.370030	 5.094885	 1.616068	 Stitched_E14,5_WT1r_19062019_res.mat
14.50	 5	 1.267318	 0.799681	 2.304455	 1.476411	 2.259911	 2.727549	 1.460230	 Stitched_E14,5_WT2l_19062019_res.mat
14.50	 5	 1.186767	 0.683355	 2.183180	 1.296677	 2.310468	 2.813880	 1.627114	 Stitched_E14,5_WT2r_19062019_res.mat
14.50	 5	 0.916766	 0.728947	 1.690830	 1.344804	 2.320030	 2.507849	 1.591083	 Stitched_E14,5_WT3l_19062019_res.mat
14.50	 5	 1.857841	 0.864880	 3.088680	 1.582144	 2.383595	 3.376556	 1.518715	 Stitched_E14,5_WT3r_19062019-1.tif_res.mat
15.50	 1	 2.519222	 0.658555	 4.221410	 1.256469	 2.295886	 4.156553	 1.637331	 2019_04_01_WT1_E15,5-1_Left.tif_res.mat
15.50	 1	 1.993809	 0.591829	 3.562335	 1.047764	 2.405797	 3.807776	 1.813968	 2019_04_01_WT1_E15,5-1_Right.tif_res.mat
15.50	 1	 2.491076	 0.333864	 3.610506	 0.607733	 2.184799	 4.342011	 1.850935	 2019_04_01_WT2_E15,5-1_Left.tif_res.mat
15.50	 1	 2.671172	 0.359812	 3.975983	 0.698542	 2.278785	 4.590145	 1.918973	 2019_04_01_WT2_E15,5-1_Right.tif_res.mat
15.50	 1	 2.969553	 0.495534	 3.452050	 0.948000	 2.183877	 4.657896	 1.688343	 2019_04_01_WT3_E15,5-1_Left.tif_res.mat
15.50	 1	 2.234216	 0.510779	 3.754724	 0.986232	 2.210341	 3.933778	 1.699562	 2019_04_01_WT3_E15,5-1_right.tif_res.mat
15.50	 2	 1.684571	 0.820440	 3.018080	 1.558660	 2.453637	 3.317768	 1.633197	 2019_05_23_E15,5_WT_left_res.mat
15.50	 2	 2.526616	 0.981307	 3.939541	 1.871823	 2.552095	 4.097404	 1.570788	 2019_05_23_E15,5_WT_right_res.mat
15.50	 3	 2.274886	 0.570148	 3.340267	 1.075630	 2.147916	 3.852654	 1.577767	 2019_11_25_e15,5_WT(heterozygous)1_left-1.tif_res.mat
15.50	 3	 1.011406	 0.638498	 1.916540	 1.202095	 2.283902	 2.656811	 1.645405	 2019_11_25_e15,5_WT(heterozygous)1_right-1.tif_res.mat
15.50	 4	 3.319624	 0.736887	 4.330500	 1.389141	 2.177021	 4.759758	 1.440134	 2019_11_25_e15,5_wt1_left-1.tif_res.mat
15.50	 4	 3.299118	 0.863094	 4.495318	 1.604176	 2.210558	 4.646582	 1.347464	 2019_11_25_e15,5_wt1_right-1.tif_res.mat
15.50	 4	 2.692469	 0.869315	 4.681632	 1.622824	 2.239929	 4.063082	 1.370614	 2019_11_25_e15,5_wt4_left-1.tif_res.mat
15.50	 5	 2.627210	 0.938888	 4.612041	 1.750258	 2.340690	 4.029012	 1.401802	 2019_11_26_e15,5_wt1_left_res.mat
15.50	 6	 3.405066	 0.784499	 5.090261	 1.481313	 2.308746	 4.929312	 1.524247	 2019_07_11_E15,5_WT1_left_res.mat
15.50	 6	 3.039471	 0.890927	 5.054614	 1.659469	 2.340520	 4.489064	 1.449593	 2019_07_11_E15,5_WT1_right-1.tif_res.mat
15.50	 6	 1.778743	 0.608370	 3.158840	 1.167090	 2.315933	 3.486306	 1.707563	 2019_07_11_E15,5_WT2_left-1.tif_res.mat
15.50	 6	 1.259990	 0.871621	 2.221213	 1.651149	 2.518056	 2.906425	 1.646435	 2019_07_11_E15,5_WT2_right_res.mat
15.50	 6	 2.322858	 0.810758	 4.071801	 1.516215	 2.317536	 3.829637	 1.506778	 2019_07_11_E15,5_WT3_left_res.mat
15.50	 6	 2.819472	 0.926394	 4.888993	 1.722159	 2.405477	 4.298555	 1.479083	 2019_07_11_E15,5_WT3_right_res.mat
15.50	 6	 2.529165	 0.682000	 4.278195	 1.310510	 2.311600	 4.158765	 1.629600	 2019_07_11_E15,5_WT4_left_res.mat
15.50	 6	 2.305281	 0.740803	 4.214450	 1.418819	 2.367827	 3.932305	 1.627023	 2019_07_11_E15,5_WT4_right_res.mat
15.50	 6	 1.986948	 1.085437	 3.596019	 2.041137	 2.545365	 3.446877	 1.459928	 2019_07_11_E15,5_WT5_left_res.mat
15.50	 6	 2.714629	 1.027240	 4.860294	 1.895436	 2.423315	 4.110704	 1.396075	 2019_07_11_E15,5_WT5_right_res.mat
15.50	 7	 2.208541	 0.963745	 3.683588	 1.769298	 2.488871	 3.733667	 1.525125	 2020_01_10_E15,5_WT1_left_res.mat
15.50	 7	 2.617695	 1.154225	 4.482702	 2.169970	 2.568491	 4.031961	 1.414266	 2020_01_10_E15,5_WT1_right_res.mat
15.50	 7	 1.750554	 0.965689	 3.167804	 1.808883	 2.436049	 3.220914	 1.470360	 2020_01_10_E15,5_WT2_left_res.mat
15.50	 7	 1.179111	 0.919426	 2.103385	 1.726054	 2.403197	 2.662882	 1.483770	 2020_01_10_E15,5_WT2_right_res.mat
15.50	 7	 2.485818	 0.803320	 4.141343	 1.515390	 2.273397	 3.955894	 1.470077	 2020_01_10_E15,5_WT3_left_res.mat
15.50	 7	 2.496258	 0.827176	 4.147252	 1.540009	 2.253553	 3.922635	 1.426377	 2020_01_10_E15,5_WT3_right_res.mat
15.50	 7	 1.908081	 1.020424	 3.334060	 1.876998	 2.390894	 3.278550	 1.370469	 2020_01_10_E15,5_WT4_left_res.mat
15.50	 7	 2.981866	 0.796033	 4.310278	 1.493703	 2.319666	 4.505499	 1.523633	 2020_01_10_E15,5_WT4_right_res.mat
15.50	 7	 1.309355	 0.940403	 2.476798	 1.768080	 2.353940	 2.722892	 1.413537	 2020_01_10_E15,5_WT5_left_res.mat
15.50	 7	 2.358677	 1.068229	 3.990059	 2.014275	 2.507768	 3.798215	 1.439538	 2020_01_10_E15,5_WT5_right_res.mat
15.75	 1	 2.564322	 0.685593	 4.483570	 1.318161	 2.333883	 4.212612	 1.648290	 2019_11_26_e15,75_wt1_left-1.tif_res.mat
15.75	 1	 3.392143	 0.718540	 5.052583	 1.382937	 2.398245	 5.071849	 1.679706	 2019_11_26_e15,75_wt1_right-1.tif_res.mat
